Record Key,Taxon Key,Scientific Name,Common Name,Taxon Group,grid,location,Sex/Stage,count,survey,date,Sighting Year,Designation
DSS000120001FOUV,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ756797,Knutsford - CP,Adult Male,1,Trapped - harp trap,15/09/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FQ4I,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ74888239,Rostherne - CP,None,Present,Aural Bat Detector,01/05/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP43,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677992,Tatton - CP,Adult Male,1,trapped (other),11/08/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP5C,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65547662,Anderton with Marbury - CP,Juvenile Male,1,trapped (other),08/10/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP7R,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ61777597,Little Leigh - CP,Adult Male,Present,trapped (other),27/04/2014,2014,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP4S,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ75677990,Tatton - CP,Adult Male,1,trapped (other),23/09/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FOW1,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65557663,Anderton with Marbury - CP,None,1,trapped (other),24/09/2016,2016,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP1Q,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65437661,Anderton with Marbury - CP,None,Present,Aural Bat Detector,24/07/2015,2015,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
DSS000120001FP4Y,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ65547662,Anderton with Marbury - CP,Adult Male,1,trapped (other),25/07/2017,2017,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
iBRC21753948,NHMSYS0000080187,Pipistrellus nathusii,Nathusius's Pipistrelle,Terrestrial mammal,SJ8175,,Not Recorded,Present,Not Provided,26/08/2021,2021,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_9"
MMEEE1KMEEE26NZG,,Pipistrellus nathusii,Nathusius's Pipistrelle,terrestrial mammal,SJ5723763717,"Eaton, Rushton",2,Not Recorded,Field Record,23/05/2023,2023,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_10"
MMEEE1KMEEE1N3CE,,Pipistrellus nathusii,Nathusius's Pipistrelle,terrestrial mammal,SJ66699417,"Culcheth, Warrington",1,Not Recorded,Bat Detector,01/06/2019,2019,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_11"
MMEEE1KMEEE1U3YT,,Pipistrellus nathusii,Nathusius's Pipistrelle,terrestrial mammal,SJ4062070852,Chester Zoo Nature Reserve,1,Not Recorded,Pass (bat),15/04/2022,2022,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_12"
MMEEE1KMEEE1U44Y,,Pipistrellus nathusii,Nathusius's Pipistrelle,terrestrial mammal,SJ4062070852,Chester Zoo Nature Reserve,2,Not Recorded,Pass (bat),09/09/2022,2022,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_13"
MMEEE1KMEEE1U3YU,,Pipistrellus nathusii,Nathusius's Pipistrelle,terrestrial mammal,SJ4062070852,Chester Zoo Nature Reserve,1,Not Recorded,Pass (bat),20/04/2022,2022,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_14"
MMEEE1KMEEE1U43B,,Pipistrellus nathusii,Nathusius's Pipistrelle,terrestrial mammal,SJ4062070852,Chester Zoo Nature Reserve,1,Not Recorded,Pass (bat),11/08/2022,2022,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_15"
MMEEE1KMEEE1FIMF,,Pipistrellus nathusii,Nathusius's Pipistrelle,terrestrial mammal,SJ28909192,"New Brighton Rugby ground and Cross Lane, School Lane field",4,Not Recorded,Pass (bat),28/06/2021,2021,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_16"
MMEEE1KMEEE1U3ZN,,Pipistrellus nathusii,Nathusius's Pipistrelle,terrestrial mammal,SJ4062070852,Chester Zoo Nature Reserve,1,Not Recorded,Pass (bat),26/05/2022,2022,"HabRegs2, HabRegs4, RedList_GB_post2001-NT, S41, WCA5, WCA5_17"
