Taxon group,Species Name,Common Name,grid,location,date,count,note,Status,Easting,Northing
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,09/08/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 130 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,10/08/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 4 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,11/08/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 6 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,12/08/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 6 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,13/08/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 4 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,14/08/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 2 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,15/08/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 32 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,16/08/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 5 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,17/08/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 9 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,02/09/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 21 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,03/09/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 180 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,04/09/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 59 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,05/09/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 354 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,06/09/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 80 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,07/09/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 326 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,08/09/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 458 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU067947,Cotswold Water Park Pit 74,09/09/2014,1+ Count ; Bat site: Not Roost,"North shore, 3 month passive monitoring. Overnight static survey with SM2, WAC data converted to ZCA files and analysed in Analook. 313 bat file. [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",406700,194700
