Taxon group,Species Name,Common Name,grid,location,date,count,note,Status,Easting,Northing
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1303060533,"Cocklebury Farm, Woodborough",12/06/2021,1+ Count ; Bat site: not roost,1 week static detector: analysed using BTO Acoustic Pipeline with manual confirmation of key species; Eastern pastures & wooded track; 3 passes of 1352 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",413030,160533
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1303060533,"Cocklebury Farm, Woodborough",13/06/2021,1+ Count ; Bat site: not roost,1 week static detector: analysed using BTO Acoustic Pipeline with manual confirmation of key species; Eastern pastures & wooded track; 1 passes of 551 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",413030,160533
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1303060533,"Cocklebury Farm, Woodborough",14/06/2021,1+ Count ; Bat site: not roost,1 week static detector: analysed using BTO Acoustic Pipeline with manual confirmation of key species; Eastern pastures & wooded track; 2 passes of 1422 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",413030,160533
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1303060533,"Cocklebury Farm, Woodborough",16/06/2021,1+ Count ; Bat site: not roost,1 week static detector: analysed using BTO Acoustic Pipeline with manual confirmation of key species; Eastern pastures & wooded track; 2 passes of 340 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",413030,160533
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU134902,"Land at Grove Farm, Blunsdon, Swindon",01/06/2019,Bat site: not roost,"Comment: Remote bat detector, Quantity: Present, Status: Flying over [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",413400,190200
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU134902,"Land at Grove Farm, Blunsdon, Swindon",01/08/2019,Bat site: not roost,"Comment: Remote bat detector, Quantity: Present, Status: Flying over [Unverified Record]","County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",413400,190200
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1390229031,"Harnleigh Green, Harnham Road, Salisbury",21/08/2021,1+ Count ; Bat site: not roost,1 week static detector deployment (SM Mini-BAT); ID via BTO Acoustic Pipeline (low confidence IDs of Probability <0.60 excluded); manually checked 10-15% of files; 1 passes of 5553 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",413902,129031
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1390229031,"Harnleigh Green, Harnham Road, Salisbury",23/08/2021,1+ Count ; Bat site: not roost,1 week static detector deployment (SM Mini-BAT); ID via BTO Acoustic Pipeline (low confidence IDs of Probability <0.60 excluded); manually checked 10-15% of files; 1 passes of 4220 bat passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",413902,129031
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1407841714,"Park Farm, West Amesbury",14/09/2016,1+ Count ; Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414078,141714
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU143442,Larkhill,19/06/2014,Bat site: Not Roost,5 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414300,144200
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU143447,Larkhill,21/05/2014,Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414300,144700
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1435444669,Larkhill SFA,21/05/2014,Bat site: Not roost, [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414354,144669
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1439744248,Larkhill SFA,19/06/2014,1+ Count ; Bat site: Not roost, [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414397,144248
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU144444,Larkhill,21/05/2014,Bat site: Not Roost,2 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414400,144400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU144444,Larkhill,10/07/2014,Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414400,144400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU144444,Larkhill,19/07/2014,Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414400,144400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU144444,Larkhill,20/07/2014,Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414400,144400
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1445244459,Larkhill SFA,21/05/2014,1+ Count ; Bat site: Not roost, [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414452,144459
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1445244459,Larkhill SFA,10/07/2014,1+ Count ; Bat site: Not roost, [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414452,144459
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1445244459,Larkhill SFA,19/07/2014,1+ Count ; Bat site: Not roost, [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414452,144459
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1445244459,Larkhill SFA,20/07/2014,1+ Count ; Bat site: Not roost, [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414452,144459
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1484641675,Amesbury Abbey,06/10/2016,1+ Count ; Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414846,141675
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1491142021,Amesbury Abbey,01/10/2016,1+ Count ; Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414911,142021
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1491142021,Amesbury Abbey,04/10/2016,1+ Count ; Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",414911,142021
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1515341735,Amesbury Abbey,10/09/2016,1+ Count ; Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",415153,141735
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1532941862,Amesbury Abbey,12/08/2016,1+ Count ; Bat site: Not Roost,13 passes [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",415329,141862
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1568642636,"River Avon, Ratfyn",08/10/2016,1+ Count ; Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",415686,142636
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1579042507,"River Avon, Ratfyn",13/05/2017,1+ Count ; Bat site: Not Roost,1 pass [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",415790,142507
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU1815124986,Lakes at Witherington Farm,16/07/2011,1 Count ; Bat site: Not roost,ID confimed with TE detector and Batsound analysis - also verified by Gareth Harris [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",418151,124986
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU187431,Bulford,01/06/2016,Bat site: Not roost,Result from bat survey of garrison [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",418700,143100
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU204846,"Redlands Airfield, Swindon",29/05/2018,Bat site: Not roost,Bat recorded in flight [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",420400,184600
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU2110353533,"SPTA - E, Everleigh",16/07/2021,1+ Count ; Bat site: not roost,1 week static detector; ID via BTO Acoustic Pipeline & manual confirmation; 1 files of total of 25 bat files [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",421103,153533
terrestrial mammal,Pipistrellus nathusii,Nathusius's Pipistrelle,SU2110353533,"SPTA - E, Everleigh",18/07/2021,1+ Count ; Bat site: not roost,1 week static detector; ID via BTO Acoustic Pipeline & manual confirmation; 1 files of total of 64 bat files [Unverified Record],"County, HabRegs2, HSD4, RLGB.Lr(NT), WCA5/9.4c",421103,153533
